n,model,accuracy,macro_f1,top5_accuracy
60000,logistic_ovr,0.08166802780046334,0.0025593875855599354,0.28747145785763095
60000,hoeffding_tree,0.11495191586526442,0.03798894265413433,0.40292338205636763
60000,hoeffding_adaptive,0.11516858614310238,0.03785786055658307,0.4072067867797797
60000,adaptive_forest,0.19696994949915833,0.07727142500815774,0.5170919515325255
65000,baseline_no_change,0.1721564947153033,0.13327213018839942,0.1916
65000,baseline_prior,0.10332466653333128,0.005633047507179207,0.4139294450683857
65000,naive_bayes,0.08007815504853921,0.002513256765513385,0.2870967245649933
65000,logistic_ovr,0.08007815504853921,0.002513256765513385,0.2870967245649933
65000,hoeffding_tree,0.11789412144802228,0.04084543196286129,0.4088062893275281
65000,hoeffding_adaptive,0.11769411837105186,0.04231901566301832,0.41246788412129415
65000,adaptive_forest,0.20201849259219373,0.08240809165148269,0.5230695856859336
70000,baseline_no_change,0.17233103330047572,0.13369034464842255,0.19134285714285715
70000,baseline_prior,0.10240146287804111,0.005560898716322495,0.41650595008500124
70000,naive_bayes,0.07968685266932385,0.0025018821303136127,0.2894327061815169
70000,logistic_ovr,0.07968685266932385,0.0025018821303136127,0.2894327061815169
70000,hoeffding_tree,0.11698738553407906,0.04095863451907513,0.410777296818526
70000,hoeffding_adaptive,0.1171588165545222,0.04210491579615397,0.4147202102887184
70000,adaptive_forest,0.206260089429849,0.0854835172592584,0.5286646952099315
75000,baseline_no_change,0.1727223029640395,0.13265627917240935,0.19157333333333335
75000,baseline_prior,0.10233469779597061,0.005522680254026285,0.4174588994519927
75000,naive_bayes,0.0791210549473993,0.0024854205623525798,0.28941719222922974
75000,logistic_ovr,0.0791210549473993,0.0024854205623525798,0.28941719222922974
75000,hoeffding_tree,0.11622821637621834,0.04315755437759394,0.4124854998066641
75000,hoeffding_adaptive,0.11542820570940945,0.04029853788831722,0.41561887491833227
75000,adaptive_forest,0.21020280270403605,0.08798930865516252,0.5321004280057068
80000,baseline_no_change,0.17245215565194566,0.13402387997509135,0.1912
80000,baseline_prior,0.10205127564094552,0.005473665568325409,0.4166802085026063
80000,naive_bayes,0.07913848923111538,0.0024859280608308283,0.2898161227015338
80000,logistic_ovr,0.07913848923111538,0.0024859280608308283,0.2898161227015338
80000,hoeffding_tree,0.1153139414242678,0.04201209624704924,0.41231765397067466
80000,hoeffding_adaptive,0.1143264290803635,0.0369311567103871,0.41495518693983674
80000,adaptive_forest,0.20792759909498867,0.08961917243141268,0.528569107113839
85000,baseline_no_change,0.17220202590618713,0.13404121266924596,0.19071764705882352
85000,baseline_prior,0.1010247179378581,0.005404166572055584,0.41474605583595103
85000,naive_bayes,0.0787421028482688,0.0024743855072656648,0.2933916869610231
85000,logistic_ovr,0.0787421028482688,0.0024743855072656648,0.2933916869610231
85000,hoeffding_tree,0.1156719490817539,0.04340793893352793,0.41388722220261415
85000,hoeffding_adaptive,0.11469546700549418,0.03523741601070701,0.4171696137601619
85000,adaptive_forest,0.20724949705290652,0.09015899198316125,0.5264885469240814
90000,baseline_no_change,0.17222413582373136,0.1347689312062865,0.19076666666666667
90000,baseline_prior,0.1012455693952155,0.00537707452656184,0.41316014622384695
90000,naive_bayes,0.0785342059356215,0.002468328271595733,0.29299214435715953
90000,logistic_ovr,0.0785342059356215,0.002468328271595733,0.29299214435715953
90000,hoeffding_tree,0.11831242569361881,0.04365635913480395,0.41607128968099644
90000,hoeffding_adaptive,0.11677907532305914,0.03418825775683587,0.4189713219035767
90000,adaptive_forest,0.2044244936054845,0.0892669477473013,0.5231835909287881
95000,baseline_no_change,0.17221233907725345,0.13450157984413966,0.19067368421052633
95000,baseline_prior,0.10192738870935483,0.005377457761831763,0.4131517173864988
95000,naive_bayes,0.07706396909441152,0.0024254250540014046,0.293887304076885
95000,logistic_ovr,0.07706396909441152,0.0024254250540014046,0.293887304076885
95000,hoeffding_tree,0.12095916799124201,0.043505152010142635,0.41836229855051105
95000,hoeffding_adaptive,0.11876967125969747,0.03337552358704254,0.4211096958915357
95000,adaptive_forest,0.20132843503615827,0.0883021838211342,0.5200581058747987
100000,baseline_no_change,0.17156171561715616,0.13482649468029392,0.19
