detector,n,timestamp,model
ADWIN,99521,2018-07-18 11:36:56,hoeffding_adaptive
PageHinkley,109169,2018-08-19 22:12:22,hoeffding_adaptive
PageHinkley,1660,2017-02-06 13:51:28,adaptive_forest
ADWIN,1921,2017-02-08 22:39:42,adaptive_forest
PageHinkley,3461,2017-03-04 14:28:13,adaptive_forest
PageHinkley,17002,2017-07-07 10:42:31,adaptive_forest
ADWIN,17217,2017-07-09 12:43:10,adaptive_forest
PageHinkley,19614,2017-07-25 00:25:34,adaptive_forest
PageHinkley,28759,2017-09-21 13:27:16,adaptive_forest
PageHinkley,34698,2017-10-27 13:26:59,adaptive_forest
PageHinkley,37531,2017-11-13 13:13:04,adaptive_forest
PageHinkley,41581,2017-11-25 12:44:35,adaptive_forest
ADWIN,43041,2017-11-28 15:05:44,adaptive_forest
PageHinkley,43073,2017-11-28 16:01:14,adaptive_forest
ADWIN,47233,2017-12-13 14:32:53,adaptive_forest
PageHinkley,48958,2017-12-22 22:04:30,adaptive_forest
ADWIN,49665,2017-12-28 16:27:11,adaptive_forest
PageHinkley,51207,2018-01-06 15:32:11,adaptive_forest
PageHinkley,54845,2018-01-19 12:09:45,adaptive_forest
PageHinkley,59985,2018-02-08 18:36:30,adaptive_forest
ADWIN,60609,2018-02-11 18:55:31,adaptive_forest
PageHinkley,61099,2018-02-13 20:03:39,adaptive_forest
ADWIN,63585,2018-02-22 15:43:00,adaptive_forest
PageHinkley,63587,2018-02-22 15:50:47,adaptive_forest
PageHinkley,64872,2018-02-27 11:51:02,adaptive_forest
ADWIN,64897,2018-02-27 12:55:42,adaptive_forest
PageHinkley,70847,2018-03-20 22:20:31,adaptive_forest
PageHinkley,75088,2018-04-06 15:50:16,adaptive_forest
ADWIN,75585,2018-04-09 10:01:08,adaptive_forest
PageHinkley,80635,2018-04-27 14:22:26,adaptive_forest
ADWIN,83937,2018-05-08 22:15:43,adaptive_forest
PageHinkley,84919,2018-05-11 19:44:32,adaptive_forest
PageHinkley,87428,2018-05-20 14:10:30,adaptive_forest
ADWIN,88097,2018-05-23 13:53:31,adaptive_forest
PageHinkley,89430,2018-06-01 16:50:43,adaptive_forest
PageHinkley,96903,2018-07-03 19:04:57,adaptive_forest
ADWIN,97825,2018-07-08 20:39:35,adaptive_forest
PageHinkley,100183,2018-07-20 13:47:30,adaptive_forest
