n,model,accuracy,macro_f1,top5_accuracy
30000,active_naive_bayes,0.08823627454248475,0.002748539286875024,0.2898096603220107
30000,active_hoeffding_tree,0.11883729457648588,0.0463653403063791,0.40734691156371877
30000,active_hoeffding_adaptive,0.11407046901563385,0.051595101145478287,0.38974632487749594
35000,baseline_no_change,0.16891911197462783,0.12794469820572518,0.18305714285714286
35000,baseline_prior,0.10451727192205491,0.005932488536595984,0.4134975285008143
35000,naive_bayes,0.08560244578416526,0.002672965443713602,0.29040829737992513
35000,logistic_ovr,0.08560244578416526,0.002672965443713602,0.29040829737992513
35000,hoeffding_tree,0.1169747707077345,0.04434113833244783,0.4056401611474614
35000,hoeffding_adaptive,0.11777479356553044,0.046595195807963896,0.40861167461927483
35000,adaptive_forest,0.19151975770736307,0.07229897416295172,0.519100545729878
35000,active_naive_bayes,0.08560244578416526,0.002672965443713602,0.29040829737992513
35000,active_hoeffding_tree,0.1169747707077345,0.04434113833244783,0.4056401611474614
35000,active_hoeffding_adaptive,0.11634618131946627,0.049647888587686304,0.3940969741992628
40000,baseline_no_change,0.17137928448211207,0.13317921409886077,0.184975
40000,baseline_prior,0.1044776119402985,0.005877925395305836,0.4116352908822721
40000,naive_bayes,0.08587714692867322,0.002680864713498681,0.2909322733068327
40000,logistic_ovr,0.08587714692867322,0.002680864713498681,0.2909322733068327
40000,hoeffding_tree,0.11585289632240806,0.04457733035459032,0.4033850846271157
40000,hoeffding_adaptive,0.1170779269481737,0.04439728436539372,0.40623515587889697
40000,adaptive_forest,0.19157978949473736,0.07649643414355135,0.5175129378234455
40000,active_naive_bayes,0.08587714692867322,0.002680864713498681,0.2909322733068327
40000,active_hoeffding_tree,0.11585289632240806,0.04457733035459032,0.4033850846271157
40000,active_hoeffding_adaptive,0.1154028850721268,0.05295826321590679,0.394084852121303
45000,baseline_no_change,0.1722482721838263,0.1317831032933278,0.18546666666666667
45000,baseline_prior,0.10624680548456632,0.005898078578325582,0.4116758150181115
45000,naive_bayes,0.08631302917842619,0.002693390686929046,0.28998422187159717
45000,logistic_ovr,0.08631302917842619,0.002693390686929046,0.28998422187159717
45000,hoeffding_tree,0.11633591857596835,0.04332722400338011,0.4063423631636259
45000,hoeffding_adaptive,0.11902486721927154,0.04344636148163862,0.40943132069601545
45000,adaptive_forest,0.19400431120691572,0.0789351804425643,0.5179892886508589
45000,active_naive_bayes,0.08631302917842619,0.002693390686929046,0.28998422187159717
45000,active_hoeffding_tree,0.11633591857596835,0.04332722400338011,0.4063423631636259
45000,active_hoeffding_adaptive,0.11493588746416587,0.051287997784682245,0.39851996711038024
50000,baseline_no_change,0.17060341206824137,0.1288729350229376,0.18314
50000,baseline_prior,0.10438208764175283,0.005784800197606589,0.40546810936218725
50000,naive_bayes,0.08386167723354467,0.0026228150505672233,0.2887657753155063
50000,logistic_ovr,0.08386167723354467,0.0026228150505672233,0.2887657753155063
50000,hoeffding_tree,0.11444228884577691,0.04104660870151026,0.40458809176183524
50000,hoeffding_adaptive,0.12054241084821696,0.041960033515173335,0.4115482309646193
50000,adaptive_forest,0.19104382087641752,0.07590686887368481,0.5127502550051001
50000,active_naive_bayes,0.08332166643332867,0.0031780168809954373,0.2878057561151223
50000,active_hoeffding_tree,0.11444228884577691,0.04104660870151026,0.40458809176183524
50000,active_hoeffding_adaptive,0.1131022620452409,0.05051952205103078,0.39698793975879515
55000,baseline_no_change,0.16927580501463663,0.12716719573928373,0.1815090909090909
55000,baseline_prior,0.10385643375334097,0.005713564864989813,0.4068619429444172
55000,naive_bayes,0.0842742595319915,0.0026347158343863674,0.2886961581119657
55000,logistic_ovr,0.0842742595319915,0.0026347158343863674,0.2886961581119657
55000,hoeffding_tree,0.11722031309660176,0.041262201968936485,0.4028618702158221
55000,hoeffding_adaptive,0.12283859706540119,0.04038941973810221,0.4130075092274405
55000,adaptive_forest,0.18954890088910709,0.08059197963996827,0.5120274914089347
55000,active_naive_bayes,0.08271059473808615,0.004177793012424179,0.28675066819396716
55000,active_hoeffding_tree,0.11722031309660176,0.041262201968936485,0.4028618702158221
55000,active_hoeffding_adaptive,0.11443844433535155,0.04897326374219198,0.3958071964944817
60000,baseline_no_change,0.17056950949182487,0.12846912153044907,0.18278333333333333
60000,baseline_prior,0.10466841114018567,0.005715354379559966,0.4100068334472241
60000,naive_bayes,0.08166802780046334,0.0025593875855599354,0.28747145785763095
60000,logistic_ovr,0.08166802780046334,0.0025593875855599354,0.28747145785763095
60000,hoeffding_tree,0.12016866947782463,0.041878035839706985,0.4069067817796963
60000,hoeffding_adaptive,0.12451874197903298,0.03932757603857835,0.41870697844964083
60000,adaptive_forest,0.18951982533042216,0.08032506205396142,0.5130918848647478
60000,active_naive_bayes,0.08495141585693095,0.004806229061112015,0.28537142285704764
60000,active_hoeffding_tree,0.12016866947782463,0.041878035839706985,0.4069067817796963
60000,active_hoeffding_adaptive,0.11606860114335239,0.047902328171875584,0.39933998899981665
65000,baseline_no_change,0.1721564947153033,0.13327213018839942,0.18443076923076923
65000,baseline_prior,0.10332466653333128,0.005633047507179207,0.4139294450683857
65000,naive_bayes,0.08007815504853921,0.002513256765513385,0.2870967245649933
65000,logistic_ovr,0.08007815504853921,0.002513256765513385,0.2870967245649933
65000,hoeffding_tree,0.12274034985153617,0.04448924332303167,0.41279096601486176
65000,hoeffding_adaptive,0.12638655979322758,0.039751421633514826,0.42336035939014444
65000,adaptive_forest,0.1913414052523885,0.08241495068482145,0.5143925291158326
65000,active_naive_bayes,0.0889244449914614,0.005293730213775212,0.28766596409175527
65000,active_hoeffding_tree,0.12274034985153617,0.04448924332303167,0.41279096601486176
65000,active_hoeffding_adaptive,0.12003261588639826,0.050704632423815496,0.4045754550070001
70000,baseline_no_change,0.17233103330047572,0.13369034464842253,0.18451428571428571
70000,baseline_prior,0.10240146287804111,0.005560898716322495,0.41650595008500124
70000,naive_bayes,0.07968685266932385,0.0025018821303136127,0.2894327061815169
70000,logistic_ovr,0.07968685266932385,0.0025018821303136127,0.2894327061815169
70000,hoeffding_tree,0.12171602451463592,0.04471234142066372,0.41496307090101286
70000,hoeffding_adaptive,0.12638751982171173,0.03942952650866866,0.42612037314818785
70000,adaptive_forest,0.18915984514064488,0.0799447370371753,0.5118215974513921
70000,active_naive_bayes,0.0895155645080644,0.0053349184856110905,0.2877041100587151
70000,active_hoeffding_tree,0.12171602451463592,0.04471234142066372,0.41496307090101286
70000,active_hoeffding_adaptive,0.12027314675923942,0.04994180971197845,0.4080058286546951
75000,baseline_no_change,0.1727223029640395,0.13265627917240938,0.18502666666666667
75000,baseline_prior,0.10233469779597061,0.005522680254026285,0.4174588994519927
75000,naive_bayes,0.0791210549473993,0.0024854205623525798,0.28941719222922974
75000,logistic_ovr,0.0791210549473993,0.0024854205623525798,0.28941719222922974
75000,hoeffding_tree,0.12064160855478073,0.04675865270832843,0.4163922185629142
